PeriodeAttente,Region,Delais_d'attente,Chirurgie_generale,Chirurgie_orthopedique,Chirurgie_plastique,Chirurgie_vasculaire,Neurochirurgie,Obstetrique_et_gynecologie,Ophtalmologie,ORL_chirurgie_cervico-faciale,Urologie,Autres,Total
2223-P07,RSS09,6 à 12 mois,37,15,18,0,0,8,1,7,0,11,97
2223-P07,RSS09,Plus d'1 an,0,0,39,0,0,0,0,0,0,0,39
2223-P07,RSS10,0 à 6 mois,50,0,0,0,0,18,0,0,0,0,68
2223-P07,RSS10,6 à 12 mois,1,0,0,0,0,16,0,0,0,0,17
2223-P07,RSS11,0 à 6 mois,224,312,4,0,0,53,378,167,29,53,1220
2223-P07,RSS11,6 à 12 mois,24,29,0,0,0,7,3,24,6,41,134
2223-P07,RSS11,Plus d'1 an,11,5,1,0,0,1,0,1,0,21,40
2223-P07,RSS12,0 à 6 mois,800,1242,177,0,0,356,643,544,332,364,4458
2223-P07,RSS12,6 à 12 mois,145,485,73,0,0,38,207,140,93,85,1266
2223-P07,RSS12,Plus d'1 an,107,70,66,0,0,18,75,133,76,70,615
2223-P07,RSS13,0 à 6 mois,459,558,107,94,0,182,885,638,225,14,3162
2223-P07,RSS13,6 à 12 mois,83,114,17,4,0,70,28,178,33,2,529
2223-P07,RSS13,Plus d'1 an,20,27,2,0,0,16,1,8,0,5,79
2223-P07,RSS14,0 à 6 mois,971,915,196,46,0,254,1532,523,349,115,4901
2223-P07,RSS14,6 à 12 mois,478,601,206,24,0,55,538,244,196,37,2379
2223-P07,RSS14,Plus d'1 an,455,367,230,89,0,17,289,551,232,20,2250
2223-P07,RSS15,0 à 6 mois,1835,1775,83,97,0,337,949,294,379,27,5776
2223-P07,RSS15,6 à 12 mois,562,1073,64,36,0,31,176,88,67,5,2102
2223-P07,RSS15,Plus d'1 an,353,986,184,15,0,8,3,134,51,3,1737
